goblet,Wo,Wg,Ht,Ws,Wn,Hs,Hg
A,13,21,23,14,7,8,15
B,14,14,24,19,5,9,15
C,19,23,24,20,6,12,12
D,17,18,16,16,11,8,8
E,19,20,16,16,10,7,9
F,12,20,24,17,6,9,15
G,12,19,22,16,6,10,12
H,12,22,25,15,7,7,18
I,11,15,17,11,6,5,12
J,11,13,14,11,7,4,10
K,12,20,25,18,5,12,13
L,13,21,23,15,9,8,15
M,12,15,19,12,5,6,13
N,13,22,26,17,7,10,16
O,14,22,26,15,7,9,17
P,14,19,20,17,5,10,10
Q,15,16,15,15,9,7,8
R,19,21,20,16,9,10,10
S,12,20,26,16,7,10,16
T,17,20,27,18,6,14,13
U,13,20,27,17,6,9,18
V,9,9,10,7,4,3,7
W,8,8,7,5,2,2,5
X,9,9,8,4,2,2,6
Z,12,19,27,18,5,12,15
